source_id,type,title,publisher,url,publication_date,last_checked,license,confidence,refresh_cadence,notes,display_caption,receipt,change_basis,volatility_flag,placement,source_line
SRC-001,governance-control,Uncost final external Movement Plan and Roadmap (July 2026),Uncost,,2026-07-18,2026-07-19,not-published-in-repo,confirmed,on-change,Controlling movement source; SHA-256 a2b640217626a76e9a26f73a5744f8c59051c83351a72bc041150824ac5a3dcd; 27 pages; supersedes 2026-07-15 edition SHA-256 5b99100ecbeeb068b89c7f5a19d38e5382b01ee79f991d35df98106764d48670; not a cost-stat evidence source,,,none,none,,
SRC-002,cost-statistic,"USDA Economic Research Service — Food Price Outlook, Summary Findings",USDA Economic Research Service,https://www.ers.usda.gov/data-products/food-price-outlook/summary-findings,2026-06-25,2026-07-25,public-domain,confirmed,monthly,Food sector-trend source; SRC-023 (ground beef) is the Food headline. Method: ERS analysis of BLS CPI food data.,"Grocery prices rose 2.3% in 2025, after a 1.2% rise in 2024.","USDA ERS Food Price Outlook: ""Food-at-home prices increased by 1.2 percent in 2024 and 2.3 percent in 2025."" United States; page updated 2026-06-25.",published,none,durable-page,"USDA ERS Food Price Outlook, 2025"
SRC-003,cost-statistic,"U.S. Bureau of Labor Statistics — CPI-U, Water and sewerage maintenance",U.S. Bureau of Labor Statistics,https://data.bls.gov/timeseries/CUUR0000SEHG01,2026-07-14,2026-07-25,public-domain,confirmed,monthly,"Present as an index, never as a dollar figure. No clean primary national retail household water dollar price exists.","Water and sewer bills rose 5.1% over the year to June 2026 — faster than prices overall, which rose about 3.5%.","BLS CPI Water and sewerage maintenance (CUUR0000SEHG01), base 1982-84=100: 761.856 (June 2026); 561.114 (January 2019). All-items for contrast: CUUR0000SA0 322.561 (Jun 2025) -> 333.952 (Jun 2026); 251.712 (Jan 2019).",contrast,none,durable-page,"U.S. BLS CPI, year to June 2026"
SRC-004,cost-statistic,Harvard Joint Center for Housing Studies — The State of the Nation's Housing 2026,Harvard Joint Center for Housing Studies,https://www.jchs.harvard.edu/state-nations-housing-2026,2026-06-17,2026-07-25,harvard-jchs-attribution,confirmed,annual,"2024 is the latest measured year (ACS 1-year microdata lags ~18 months; no 2025 vintage exists). Display copy may say ""2024, the latest measured year""; never imply current-year. Same figure restated in America's Rental Housing 2026.",49% of renter households are cost-burdened — a record.,"Harvard JCHS, The State of the Nation's Housing 2026: ""In 2024, 22.7 million renter households spent more than 30 percent of their income on rent and utilities-49 percent of all renters. Some 12.1 million of these households were severely cost burdened, paying more than half their income for housing."" A record high; United States, 2024.",published,none,durable-page,Harvard JCHS · 22.7 million renter households · 2024
SRC-005,cost-statistic,U.S. Energy Information Administration — Electric Power Monthly (Table 5.6.A),U.S. Energy Information Administration,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,2026-06,2026-07-25,public-domain,confirmed,monthly,Report levels; do not compute a percentage.,"Household electricity cost 18.83 cents per kilowatt-hour in April 2026, up from 17.55 cents a year earlier.","EIA Electric Power Monthly, Table 5.6.A (average U.S. residential price): 18.83 cents/kWh (April 2026); 17.55 cents/kWh (April 2025).",none,none,durable-page,"U.S. EIA, April 2026"
SRC-006,cost-statistic,KFF — Employer Health Benefits 2025 Annual Survey,KFF,https://www.kff.org/health-costs/2025-employer-health-benefits-survey/,2025-10,2026-07-25,kff-attribution,confirmed,annual,"Method: KFF's own annual employer survey (1,862 firms). Reusable with attribution; confirm terms before republishing charts.","Family health coverage through an employer cost $26,993 in 2025 — up 6% in a year. Workers paid $6,850 of that themselves.","KFF Employer Health Benefits 2025 Annual Survey: average annual premium for employer family coverage $26,993 in 2025 (single $9,325); family premium up 6% year over year; workers contributed $6,850 toward family coverage.",published,none,durable-page,"KFF Employer Health Benefits Survey, 2025"
SRC-007,cost-statistic,CareScout (Genworth) — Cost of Care Survey 2025,CareScout (Genworth Financial),https://www.carescout.com/cost-of-care,2026-03-02,2026-07-25,proprietary-permission,confirmed,annual,"$80,080 is CareScout's own published calculation (quoted, not derived). Permission required for reuse.","In-home caregiving cost a median $35 an hour in 2025 — about $80,080 a year for 44 hours a week.","CareScout (Genworth) Cost of Care Survey 2025: national median hourly rate for non-medical caregiver services $35/hour (3% year-over-year increase); annual cost $80,080 assuming 44 hours/week over 52 weeks (CareScout's calculation).",published,none,durable-page,"CareScout Cost of Care Survey, 2025"
SRC-008,cost-statistic,College Board — Trends in College Pricing 2025,College Board,https://research.collegeboard.org/trends/college-pricing/highlights,2025-11,2026-07-25,proprietary-permission,confirmed,annual,"Published/sticker tuition and fees, enrollment-weighted. Permission required for reuse.","In-state tuition and fees at a public four-year college averaged $11,950 for 2025-26 — $340 more than the year before.","College Board Trends in College Pricing 2025: average published in-state tuition and fees at public four-year colleges $11,950 for 2025-26, $340 higher than 2024-25 (2.9% before adjusting for inflation; enrollment-weighted, United States).",published,none,durable-page,"College Board Trends in College Pricing, 2025-26"
SRC-009,cost-statistic,AAA — Your Driving Costs 2025,AAA,https://newsroom.aaa.com/wp-content/uploads/2025/09/UPDATE-AAA-Fact-Sheet-Your-Driving-Cost-9.2025-1.pdf,2025-09,2026-07-25,proprietary-permission,confirmed,annual,AAA proprietary cost model. It fell this year — reported plainly. Permission required for reuse.,"Owning and running a new car cost an average $11,577 in 2025 — $719 less than in 2024.","AAA Your Driving Costs 2025: overall average cost to own and operate a new car $11,577 in 2025 (a decrease of $719 from 2024); averaged over five years / 75,000 miles; average sales-weighted MSRP $38,938.",published,none,durable-page,"AAA Your Driving Costs, 2025"
SRC-010,cost-statistic,"U.S. Bureau of Labor Statistics — CPI-U, Apparel",U.S. Bureau of Labor Statistics,https://data.bls.gov/timeseries/CUUR0000SAA,2026-07-14,2026-07-25,public-domain,confirmed,monthly,The canonical deflationary contrast. Report as levels.,"Clothing costs about 8% more than it did ten years ago, while prices overall rose about 39%.","BLS CPI Apparel (CUUR0000SAA), base 1982-84=100: 135.917 (June 2026); 125.472 (June 2016). All-items: 241.018 (June 2016) -> 333.952 (June 2026).",contrast,none,durable-page,"U.S. BLS CPI, June 2016 to June 2026"
